"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1czy_CE","Motif","seed_0","recycle_9",0.72,1.42,1.83,2.1,5.473,2.791,5.765,2.848,2.594,2.597,0.72,0,0,0
"2","1eg4_AP","Motif","seed_0","recycle_9",0.98,1.45,5.16,5.47,7.549,4.423,7.853,4.261,4,4.307,0.16,0,0,0
"3","1elw_AC","Motif","seed_0","recycle_9",0.45,0.91,1.37,1.64,5.372,2.44,5.628,2.457,2.516,2.549,0.1,0,0,4
"4","1jd5_AB","Motif","seed_0","recycle_9",4.18,4.39,2.01,2.34,2.582,3.252,3.249,3.733,4.86,4.712,0.37,0,6,8
"5","1jwg_BD","Motif","seed_0","recycle_9",0.78,1.38,1.78,2.04,8.442,3.881,8.805,4.218,3.529,3.438,0.19,0,0,0
"6","1mfg_AB","Motif","seed_0","recycle_9",0.68,1.3,2.11,2.39,24.667,11.798,25.004,11.422,11.074,11.368,0,0,0,0
"7","1ntv_AB","Motif","seed_0","recycle_9",3.07,3.15,3.54,3.73,12.903,8.976,13.598,8.312,6.633,7.469,0.71,0,0,0
"8","1rxz_AB","Motif","seed_0","recycle_9",0.77,1.3,3.91,4.09,8.208,4.733,8.346,4.775,3.94,4.138,0.65,0,0,0
"9","1ssh_AB","Motif","seed_0","recycle_9",1.96,2.06,1.78,2.19,12.662,5.923,12.852,6.916,7.031,7.503,0.71,0,0,0
"10","1x2r_AB","Motif","seed_0","recycle_9",0.47,1.02,4.2,4.51,6.412,4.166,6.994,3.907,3.079,3.062,0.12,0,0,0
"11","2a3i_AB","Motif","seed_0","recycle_9",1.23,1.83,3.36,3.63,4.296,2.44,4.595,2.666,2.221,2.141,0.56,0,0,9
"12","2cch_DF","Motif","seed_0","recycle_9",0.5,1.09,5.49,5.7,7.192,4.638,7.359,4.453,3.337,3.587,0.44,0,0,5
