"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1awr_CI","Non-motif","seed_0","recycle_9",0.62,1.19,1.72,2.57,46.674,20.367,46.665,19.688,18.259,19.455,46.81,0,0,0,0
"2","1er8_EI","Non-motif","seed_0","recycle_9",0.56,0.91,1.84,3.15,3.501,1.762,6.479,3.58,3.571,1.725,3.501,0.93,0,0,4
"3","1lvm_AE","Non-motif","seed_0","recycle_9",5,5.36,1.16,2.28,12.321,6.22,13.734,6.762,8.081,7.333,12.321,0.94,0,0,0
"4","1nvr_AB","Non-motif","seed_0","recycle_9",2,2.41,1.2,1.69,43.984,20.907,44.588,19.502,17.023,18.474,43.984,0,0,0,0
"5","1nx1_AC","Non-motif","seed_0","recycle_9",0.81,1.44,1.16,1.63,2.084,1.112,3.013,1.887,2.07,1.177,2.015,0.7,9,11,11
"6","1ou8_BD","Non-motif","seed_0","recycle_9",0.33,0.95,2.36,3.76,10.788,5.995,12.301,6.584,6.436,5.892,10.788,0.62,0,0,0
"7","1u00_AP","Non-motif","seed_0","recycle_9",2.83,3.01,1.77,2.97,3.809,1.768,5.923,3.192,2.906,1.621,3.845,0.96,0,0,0
"8","2b9h_AC","Non-motif","seed_0","recycle_9",1.5,1.97,1.79,3.99,2.402,1.302,4.569,2.641,2.749,1.382,2.312,0.65,0,7,9
"9","2c3i_BA","Non-motif","seed_0","recycle_9",0.51,1.19,1.05,2.32,1.082,0.545,2.97,1.675,1.972,0.634,1.023,0.12,5,7,8
"10","2ds8_BP","Non-motif","seed_0","recycle_9",0.51,1.01,0.71,0.99,0.94,0.418,1.634,1.121,1.133,0.526,0.94,0.57,0,6,6
"11","2fmf_AB","Non-motif","seed_0","recycle_9",0.45,0.93,0.46,0.82,4.713,1.949,5.032,2.414,2.962,2.234,5.112,0.71,0,0,13
"12","2h9m_CD","Non-motif","seed_0","recycle_9",0.52,0.91,2.94,3.21,49.005,20.959,49.809,21.846,19.508,18.532,49.005,0,0,0,0
"13","2hpl_AB","Non-motif","seed_0","recycle_9",0.52,1.17,1.3,2.45,33.141,14.42,33.68,14.711,14.127,14.106,33.442,0.06,0,0,0
"14","2o02_AP","Non-motif","seed_0","recycle_9",0.51,1.16,3.47,4.64,5.838,3.216,6.914,3.937,3.993,3.305,5.838,0.47,0,5,9
"15","3d1e_AP","Non-motif","seed_0","recycle_9",0.75,1.3,1.51,2.41,8.69,3.906,9.337,4.3,4.418,4.021,8.69,0.14,0,0,0
