"","pdb_id","dataset","model","rank","seed","recycle","training","rms_before_ref_super_rec_bb","rms_before_ref_super_rec","rms_before_ref_super_pep_bb","rms_before_ref_super_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF"
"1","1awr_CI","Non-motif","model_4","rank_5","seed_0","recycle_3",FALSE,0.63,1.22,1.26,1.41,52.799,22.749,52.667,22.111
"2","1awr_CI","Non-motif","model_4","rank_1","seed_0","recycle_3",TRUE,0.63,1.21,1.07,1.07,51.308,22.322,51.098,21.699
"3","1awr_CI","Non-motif","model_4","rank_1","seed_0","recycle_9",FALSE,0.64,1.23,1.27,1.41,51.186,22.354,51.018,21.708
"4","1awr_CI","Non-motif","model_4","rank_1","seed_0","recycle_9",TRUE,0.65,1.22,0.33,0.73,50.23,22.093,50.176,21.45
"5","1awr_CI","Non-motif","model_4","rank_1","seed_1","recycle_3",FALSE,0.63,1.23,1.26,1.41,52.929,22.723,52.761,22.058
"6","1awr_CI","Non-motif","model_4","rank_8","seed_1","recycle_3",TRUE,0.63,1.22,1.29,1.48,49.153,21.302,48.674,20.69
"7","1awr_CI","Non-motif","model_4","rank_6","seed_1","recycle_9",FALSE,0.64,1.24,1.28,1.43,51.551,22.481,51.365,21.821
"8","1awr_CI","Non-motif","model_4","rank_1","seed_1","recycle_9",TRUE,0.63,1.22,1.01,1.01,43.702,19.568,43.514,19.009
"9","1awr_CI","Non-motif","model_4","rank_6","seed_2","recycle_3",FALSE,0.63,1.23,1.24,1.36,51.709,22.316,51.571,21.688
"10","1awr_CI","Non-motif","model_4","rank_1","seed_2","recycle_3",TRUE,0.63,1.21,0.29,0.73,50.959,22.451,50.839,21.814
"11","1awr_CI","Non-motif","model_4","rank_8","seed_2","recycle_9",FALSE,0.63,1.22,1.29,1.44,51.392,22.448,51.284,21.829
"12","1awr_CI","Non-motif","model_4","rank_7","seed_2","recycle_9",TRUE,0.63,1.21,0.3,0.65,47.619,21.017,47.502,20.349
"13","1awr_CI","Non-motif","model_4","rank_9","seed_3","recycle_3",FALSE,0.62,1.21,1.25,1.37,52.429,22.607,52.285,21.944
"14","1awr_CI","Non-motif","model_4","rank_1","seed_3","recycle_3",TRUE,0.63,1.23,0.32,0.74,46.541,20.154,46.498,19.497
"15","1awr_CI","Non-motif","model_4","rank_7","seed_3","recycle_9",FALSE,0.63,1.22,1.29,1.47,49.791,21.844,49.56,21.195
"16","1awr_CI","Non-motif","model_4","rank_2","seed_3","recycle_9",TRUE,0.63,1.21,1.93,3.36,49.012,21.21,49.006,20.597
"17","1awr_CI","Non-motif","model_4","rank_2","seed_4","recycle_3",FALSE,0.63,1.23,1.23,1.38,52.275,22.516,52.163,21.893
"18","1awr_CI","Non-motif","model_4","rank_6","seed_4","recycle_3",TRUE,0.54,1.04,1.09,1.15,48.609,21.392,48.438,20.727
"19","1awr_CI","Non-motif","model_4","rank_3","seed_4","recycle_9",FALSE,0.63,1.22,1.26,1.41,50.92,22.357,50.765,21.7
"20","1awr_CI","Non-motif","model_4","rank_6","seed_4","recycle_9",TRUE,0.61,1.22,1.51,1.59,39.686,18.043,39.4,17.505
"21","1er8_EI","Non-motif","model_4","rank_4","seed_0","recycle_3",FALSE,0.57,0.91,0.95,1.26,3.868,1.929,6.897,3.788
"22","1er8_EI","Non-motif","model_4","rank_5","seed_0","recycle_3",TRUE,0.61,0.94,0.89,1.2,3.814,1.91,6.8,3.74
"23","1er8_EI","Non-motif","model_4","rank_1","seed_0","recycle_9",FALSE,0.57,0.91,0.75,1.11,3.631,1.819,6.706,3.699
"24","1er8_EI","Non-motif","model_4","rank_7","seed_0","recycle_9",TRUE,0.58,0.92,0.79,1.11,3.7,1.85,6.731,3.7
"25","1er8_EI","Non-motif","model_4","rank_2","seed_1","recycle_3",FALSE,0.57,0.91,0.83,1.13,3.782,1.891,6.822,3.754
"26","1er8_EI","Non-motif","model_4","rank_8","seed_1","recycle_3",TRUE,0.54,0.89,0.95,1.27,3.818,1.888,6.846,3.743
"27","1er8_EI","Non-motif","model_4","rank_1","seed_1","recycle_9",FALSE,0.56,0.9,0.75,1.09,3.661,1.83,6.715,3.701
"28","1er8_EI","Non-motif","model_4","rank_8","seed_1","recycle_9",TRUE,0.58,0.92,0.87,1.27,3.777,1.889,6.807,3.75
"29","1er8_EI","Non-motif","model_4","rank_5","seed_2","recycle_3",FALSE,0.57,0.91,0.93,1.2,3.827,1.908,6.85,3.764
"30","1er8_EI","Non-motif","model_4","rank_6","seed_2","recycle_3",TRUE,0.61,0.94,0.89,1.15,3.736,1.866,6.769,3.717
"31","1er8_EI","Non-motif","model_4","rank_7","seed_2","recycle_9",FALSE,0.56,0.91,0.78,1.13,3.648,1.817,6.721,3.702
"32","1er8_EI","Non-motif","model_4","rank_5","seed_2","recycle_9",TRUE,0.57,0.91,0.85,1.21,3.535,1.76,6.694,3.677
"33","1er8_EI","Non-motif","model_4","rank_6","seed_3","recycle_3",FALSE,0.59,0.92,0.9,1.18,3.813,1.91,6.871,3.757
"34","1er8_EI","Non-motif","model_4","rank_4","seed_3","recycle_3",TRUE,0.52,0.88,0.84,1.09,3.639,1.796,6.621,3.637
"35","1er8_EI","Non-motif","model_4","rank_1","seed_3","recycle_9",FALSE,0.57,0.92,0.72,1.07,3.598,1.801,6.669,3.679
"36","1er8_EI","Non-motif","model_4","rank_3","seed_3","recycle_9",TRUE,0.54,0.9,0.75,1.12,3.574,1.78,6.671,3.672
"37","1er8_EI","Non-motif","model_4","rank_3","seed_4","recycle_3",FALSE,0.58,0.92,0.85,1.15,3.805,1.903,6.853,3.77
"38","1er8_EI","Non-motif","model_4","rank_3","seed_4","recycle_3",TRUE,0.58,0.91,0.87,1.13,3.585,1.793,6.751,3.709
"39","1er8_EI","Non-motif","model_4","rank_2","seed_4","recycle_9",FALSE,0.56,0.91,0.78,1.14,3.666,1.832,6.738,3.712
