"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1bjr_EI","approved","seed_0","recycle_9",0.46,0.97,3.57,5.29,10.247,4.954,10.573,4.84,4.654,4.791,10.247,0.53,0,0,0
"2","1d4t_AB","approved","seed_0","recycle_9",0.74,1.41,2.19,3.4,8.065,4.398,9.347,5.096,5.036,4.315,7.879,0.88,5,11,11
"3","1ee5_AB","approved","seed_0","recycle_9",0.98,1.22,2.39,4.68,3.384,2.033,5.935,3.351,3.192,1.859,3.444,0.76,4,8,9
"4","1elr_AB","approved","seed_0","recycle_9",0.66,1.22,0.3,0.9,0.574,0.302,1.031,0.963,0.926,0.307,0.574,0.95,4,5,5
"5","1fiw_AL","approved","seed_0","recycle_9",0.65,1.17,3.18,4.81,3.561,1.852,5.321,3.072,2.892,1.764,4.117,0.75,0,10,11
"6","1jrr_AP","approved","seed_0","recycle_9",2.08,2.49,0.33,0.58,0.265,0.241,0.676,0.589,0.579,0.237,0.265,0.52,14,14,14
"7","1ky6_AP","approved","seed_0","recycle_9",2.88,2.84,1.38,1.7,9.947,4.242,10.068,4.346,5.611,5.304,9.947,0.12,0,0,0
"8","1ssc_AB","approved","seed_0","recycle_9",0.97,1.27,0.35,0.88,0.476,0.273,1,0.798,0.759,0.281,0.476,1,11,11,11
"9","1t3l_AB","approved","seed_0","recycle_9",1.42,2.11,0.82,1.76,14.702,10.197,15.886,11.157,10.391,9.301,16.084,0,0,0,0
"10","1t4f_MP","approved","seed_0","recycle_9",0.87,1.84,0.5,1.42,0.893,0.484,1.638,1.25,1.404,0.493,0.969,0.89,0,9,9
"11","1t5z_AB","approved","seed_0","recycle_9",0.68,1.31,1.08,2.42,1.3,0.756,2.991,1.985,1.899,0.738,1.135,0.81,0,10,11
"12","1tj9_AB","approved","seed_0","recycle_9",0.76,1.3,1.12,1.65,50.593,21.043,49.632,20.584,19.681,19.799,50.593,0,0,0,0
"13","1xqy_AQ","approved","seed_0","recycle_9",0.76,1.33,0.99,0.95,76.884,33.447,78.239,31.686,29.403,31.209,76.884,0,0,0,0
"14","2b1n_AB","approved","seed_0","recycle_9",0.89,1.31,1.37,1.95,41.352,18.508,40.882,17.711,15.205,16.226,41.352,0,0,0,0
"15","2cnz_AB","approved","seed_0","recycle_9",0.83,1.19,0.33,0.97,0.472,0.515,1.044,1.029,1.052,0.537,0.474,0.98,19,19,19
"16","2f31_AB","approved","seed_0","recycle_9",0.53,1.14,2.66,4.18,9.121,4.907,10.009,4.997,5.829,5.239,8.772,0.25,0,0,0
"17","2fib_AB","approved","seed_0","recycle_9",0.55,0.98,0.68,1.43,7.011,2.917,5.873,2.527,2.348,2.671,6.227,0.29,0,0,0
"18","2hwl_BA","approved","seed_0","recycle_9",0.69,1.25,4.97,6.42,8.923,4.942,9.982,5.558,5.456,4.855,8.509,0.05,8,12,15
"19","2np0_AB","approved","seed_0","recycle_9",32.16,32.33,1.01,2.28,29.034,22.017,29.142,22.981,23.074,22.321,29.604,0,0,0,0
"20","2orz_AB","approved","seed_0","recycle_9",2.62,2.9,0.71,1.56,38.243,15.084,39.848,16.022,14.506,13.191,38.059,0,0,0,0
"21","2qa9_EI","approved","seed_0","recycle_9",0.5,0.73,0.55,1.13,1.2,0.508,1.58,0.815,0.791,0.505,1.2,0.86,0,4,4
"22","2qos_CA","approved","seed_0","recycle_9",0.67,1.18,4.87,6.64,7.258,4.522,8.218,5.401,4.182,3.594,7.67,0.63,0,0,0
