"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1by5_AB",NA,"seed_0","recycle_9",0.67,1.2,2.23,2.23,57.379,20.943,57.176,19.432,16.573,18.991,59.151,0,0,0,0
"2","1cmi_AC",NA,"seed_0","recycle_9",0.7,1.31,2.3,4.67,15.467,7.367,16.581,8.2,8.141,7.313,15.467,0.42,0,0,0
"3","1h6w_AB",NA,"seed_0","recycle_9",4.67,4.87,0.56,1.16,1.637,0.524,1.917,1.064,1.008,0.502,2.015,0,6,10,10
"4","2aij_XP",NA,"seed_0","recycle_9",0.59,0.99,0.53,0.8,0.804,0.913,1.181,0.931,1.202,1.202,0.804,0.16,4,5,5
"5","2nyq_AB",NA,"seed_0","recycle_9",0.43,0.8,0.04,1.61,5.454,1.449,7.94,2.729,3.435,1.934,5.454,0.45,0,0,0
"6","2ojx_AE",NA,"seed_0","recycle_9",0.6,1.5,1.7,2.95,1.707,1.329,2.686,2.379,1.627,0.97,2.204,0.27,0,4,7
"7","2w9r_AB",NA,"seed_0","recycle_9",2.04,2.32,2.05,3.53,24.235,8.499,24.541,8.809,9.75,9.337,23.573,0,0,0,0
"8","3jvk_AC",NA,"seed_0","recycle_9",1.07,1.24,1.34,1.55,11.665,5.232,13.554,6.385,6.002,5.17,11.726,0,0,0,0
"9","3p72_AB",NA,"seed_0","recycle_9",2.21,2.56,1,1.73,14.775,6.372,15.009,7.134,8.235,7.997,14.299,0.33,0,0,0
"10","4ayv_BD",NA,"seed_0","recycle_9",1.23,1.62,1.96,3.15,17.517,8.999,17.867,9.505,11.027,10.484,15.138,0.67,0,0,0
"11","4fwf_AE",NA,"seed_0","recycle_9",0.95,1.42,2.03,2.63,8.728,4.486,8.219,4.219,3.672,3.873,8.728,0.04,0,0,5
"12","4j86_BC",NA,"seed_0","recycle_9",0.49,0.88,3.46,5.27,33.994,11.619,36.136,13.233,14.236,13.551,32.745,0,0,0,0
"13","4jhk_AC",NA,"seed_0","recycle_9",0.62,1.2,4.42,6.03,0.499,0.416,0.935,1.345,1.07,0.305,11.486,0.35,10,15,16
"14","4k39_BD",NA,"seed_0","recycle_9",1.01,1.51,0.87,1.23,0.916,0.581,1.414,1.354,1.19,0.551,0.916,0.1,0,10,10
"15","4ouc_AB",NA,"seed_0","recycle_9",0.72,1.19,3.36,5.51,13.706,6.657,14.143,6.795,6.651,6.455,13.706,0,0,0,0
"16","4oz6_AB",NA,"seed_0","recycle_9",0.77,1.18,2.6,2.54,5.951,4.107,6.337,4.633,4.19,3.706,5.951,0.15,0,0,0
"17","4quf_DT",NA,"seed_0","recycle_9",0.64,1.45,1.54,2.97,2.266,1.428,3.332,2.319,2.175,1.322,2.235,0.39,0,6,7
"18","4uzq_AB",NA,"seed_0","recycle_9",0.65,1.25,0.4,0.74,30.548,10.255,30.94,10.186,9.471,9.259,30.548,0,0,0,0
"19","5am8_BQ",NA,"seed_0","recycle_9",1.05,1.4,0.55,1.23,3.149,1.338,3.768,1.597,1.54,1.214,3.149,0.24,0,0,0
"20","5iyv_AB",NA,"seed_0","recycle_9",1.38,1.64,2.38,3.37,16.313,8.287,18.522,8.841,8.069,7.372,15.636,0,0,0,0
"21","5k6s_AB",NA,"seed_0","recycle_9",2.42,2.6,4.82,5.68,46.603,21.391,47.815,21.841,21.88,21.237,46.7,0,0,0,0
"22","5l9b_AD",NA,"seed_0","recycle_9",1.19,1.44,1.04,1.75,31.05,10.442,31.016,12.124,11.395,9.753,52.41,0.14,0,0,0
"23","5nnp_BI",NA,"seed_0","recycle_9",1.02,1.39,0.79,1.54,8.175,3.909,7.687,3.491,3.755,4.038,8.175,0.38,0,0,0
"24","5sw9_AB",NA,"seed_0","recycle_9",2.38,2.71,1.12,2.09,45.004,20.633,46.236,21.039,21.129,20.228,45.25,0,0,0,0
"25","5yp5_AB",NA,"seed_0","recycle_9",0.42,0.97,0.41,1.46,0.727,0.434,2.239,1.323,1.26,0.411,0.717,1,0,8,8
"26","5yv5_AB",NA,"seed_0","recycle_9",1.11,1.61,1.51,1.61,1.83,1.322,2.11,1.964,1.866,1.248,1.771,0.18,9,14,14
"27","6f4q_AB",NA,"seed_0","recycle_9",0.44,1.01,0.73,1.04,6.812,2.561,7.612,3.087,3.741,2.914,6.812,0,0,0,0
"28","6fkp_DF",NA,"seed_0","recycle_9",1.02,1.65,3.54,3.94,40.78,16.015,41.827,15.473,16.262,16.194,40.818,0,0,0,0
"29","6tyt_AC",NA,"seed_0","recycle_9",0.81,1.12,1.6,1.89,33.472,13.653,32.531,14.201,14.83,14.169,33.615,0,0,0,0
