"","pdb_id","dataset","model","rank","seed","recycle","training","rms_before_ref_super_rec_bb","rms_before_ref_super_rec","rms_before_ref_super_pep_bb","rms_before_ref_super_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF"
"1","1czy_CE","Motif","model_4","rank_2","seed_0","recycle_3",FALSE,0.7,1.1,0.49,0.7,6.117,2.759,6.918,3.374
"2","1czy_CE","Motif","model_4","rank_2","seed_0","recycle_3",TRUE,0.8,1.1,0.7,0.57,23.166,10.187,23.687,10.659
"3","1czy_CE","Motif","model_4","rank_1","seed_0","recycle_9",FALSE,0.68,1.09,0.66,0.78,2.355,1.262,3.489,2.068
"4","1czy_CE","Motif","model_4","rank_2","seed_0","recycle_9",TRUE,0.77,1.1,0.51,0.55,35.978,15.24,36.425,15.754
"5","1czy_CE","Motif","model_4","rank_1","seed_1","recycle_3",FALSE,0.79,1.11,2.09,3.71,25.279,10.68,25.633,11.091
"6","1czy_CE","Motif","model_4","rank_1","seed_1","recycle_3",TRUE,0.77,1.12,1.2,1.43,19.038,8.479,19.396,8.818
"7","1czy_CE","Motif","model_4","rank_1","seed_1","recycle_9",FALSE,0.73,1.09,0.67,0.79,2.345,1.264,3.487,2.072
"8","1czy_CE","Motif","model_4","rank_7","seed_1","recycle_9",TRUE,0.74,1.07,0.68,0.8,2.317,1.249,3.439,2.019
"9","1czy_CE","Motif","model_4","rank_2","seed_2","recycle_3",FALSE,0.78,1.11,0.96,1.24,16.29,6.83,16.649,7.234
"10","1czy_CE","Motif","model_4","rank_1","seed_2","recycle_3",TRUE,0.77,1.11,1.08,1.88,26.185,11.287,26.615,11.697
"11","1czy_CE","Motif","model_4","rank_2","seed_2","recycle_9",FALSE,0.79,1.11,0.82,1.02,4.133,1.984,5.168,2.711
"12","1czy_CE","Motif","model_4","rank_2","seed_2","recycle_9",TRUE,0.81,1.14,0.95,1.22,18.763,7.802,18.934,8.13
"13","1czy_CE","Motif","model_4","rank_2","seed_3","recycle_3",FALSE,0.73,1.11,1.33,1.5,23.57,10.024,23.905,10.402
"14","1czy_CE","Motif","model_4","rank_2","seed_3","recycle_3",TRUE,0.78,1.09,1.1,1.42,7.205,3.295,7.964,3.856
"15","1czy_CE","Motif","model_4","rank_2","seed_3","recycle_9",FALSE,0.79,1.11,1.27,1.51,25.49,10.597,25.661,10.964
"16","1czy_CE","Motif","model_4","rank_8","seed_3","recycle_9",TRUE,0.78,1.12,0.67,0.79,2.314,1.242,3.448,2.025
"17","1czy_CE","Motif","model_4","rank_2","seed_4","recycle_3",FALSE,0.78,1.11,1.28,1.46,22.404,9.426,22.771,9.819
"18","1czy_CE","Motif","model_4","rank_2","seed_4","recycle_3",TRUE,0.74,1.13,1.44,1.62,25.655,11.805,25.86,12.031
"19","1czy_CE","Motif","model_4","rank_2","seed_4","recycle_9",FALSE,0.76,1.09,0.66,0.78,2.337,1.268,3.524,2.068
"20","1czy_CE","Motif","model_4","rank_2","seed_4","recycle_9",TRUE,0.71,1.1,1.32,1.5,26.399,11.165,26.499,11.45
"21","1eg4_AP","Motif","model_4","rank_1","seed_0","recycle_3",FALSE,0.5,1.13,1.06,1.72,14.647,7.698,16.461,9.153
"22","1eg4_AP","Motif","model_4","rank_2","seed_0","recycle_3",TRUE,0.5,1.14,0.87,1.43,11.123,4.554,12.212,5.766
"23","1eg4_AP","Motif","model_4","rank_6","seed_0","recycle_9",FALSE,0.5,1.11,0.78,2.24,12.166,4.858,12.468,5.572
"24","1eg4_AP","Motif","model_4","rank_1","seed_0","recycle_9",TRUE,0.57,1.16,1.01,1.9,11.792,4.738,12.413,5.371
"25","1eg4_AP","Motif","model_4","rank_1","seed_1","recycle_3",FALSE,0.49,1.12,0.86,1.55,10.54,4.33,11.229,5.259
"26","1eg4_AP","Motif","model_4","rank_1","seed_1","recycle_3",TRUE,0.52,1.16,0.81,1.45,10.935,4.417,11.367,5.176
"27","1eg4_AP","Motif","model_4","rank_9","seed_1","recycle_9",FALSE,0.5,1.12,0.76,2.17,10.874,4.431,11.358,5.278
"28","1eg4_AP","Motif","model_4","rank_7","seed_1","recycle_9",TRUE,0.52,1.18,0.57,1.4,11.97,4.818,12.528,5.414
"29","1eg4_AP","Motif","model_4","rank_1","seed_2","recycle_3",FALSE,0.5,1.12,0.93,1.94,10.693,4.373,11.226,5.16
"30","1eg4_AP","Motif","model_4","rank_1","seed_2","recycle_3",TRUE,0.5,1.12,1.05,1.74,11.995,4.915,12.835,5.722
"31","1eg4_AP","Motif","model_4","rank_7","seed_2","recycle_9",FALSE,0.5,1.12,0.78,2.23,12.114,4.833,12.421,5.551
"32","1eg4_AP","Motif","model_4","rank_3","seed_2","recycle_9",TRUE,0.51,1.11,0.57,1.43,11.913,4.785,12.588,5.414
"33","1eg4_AP","Motif","model_4","rank_1","seed_3","recycle_3",FALSE,0.5,1.13,1.54,2.21,14.226,7.788,16.21,9.368
"34","1eg4_AP","Motif","model_4","rank_1","seed_3","recycle_3",TRUE,0.57,1.19,0.76,1.36,14.469,6.003,15.461,7.24
"35","1eg4_AP","Motif","model_4","rank_1","seed_3","recycle_9",FALSE,0.5,1.12,1.3,1.9,13.707,5.727,13.657,6.299
"36","1eg4_AP","Motif","model_4","rank_2","seed_3","recycle_9",TRUE,0.55,1.14,1,1.5,13.488,5.518,14.008,6.491
"37","1eg4_AP","Motif","model_4","rank_2","seed_4","recycle_3",FALSE,0.5,1.12,0.87,1.45,11.073,4.639,12.247,6.003
"38","1eg4_AP","Motif","model_4","rank_1","seed_4","recycle_3",TRUE,0.51,1.11,0.78,1.33,43.526,18.194,44.068,19.305
"39","1eg4_AP","Motif","model_4","rank_1","seed_4","recycle_9",FALSE,0.5,1.11,1.14,1.8,13.043,5.675,13.591,6.562
"40","1eg4_AP","Motif","model_4","rank_1","seed_4","recycle_9",TRUE,0.51,1.11,1.24,1.73,13.037,5.389,13.765,6.504
"41","1elw_AC","Motif","model_4","rank_1","seed_0","recycle_3",FALSE,0.54,0.99,0.87,1.34,1.947,0.883,2.196,1.167
"42","1elw_AC","Motif","model_4","rank_6","seed_0","recycle_3",TRUE,0.52,0.97,0.93,1.32,2.295,0.97,2.362,1.294
"43","1elw_AC","Motif","model_4","rank_1","seed_0","recycle_9",FALSE,0.5,0.96,0.36,0.97,0.573,0.356,1.136,0.837
"44","1elw_AC","Motif","model_4","rank_1","seed_0","recycle_9",TRUE,0.51,0.97,0.48,0.94,0.895,0.455,1.218,0.837
"45","1elw_AC","Motif","model_4","rank_1","seed_1","recycle_3",FALSE,0.51,0.99,0.93,1.43,2.173,0.985,2.428,1.328
"46","1elw_AC","Motif","model_4","rank_1","seed_1","recycle_3",TRUE,0.46,0.96,1.3,1.79,4.39,1.893,4.614,2.193
"47","1elw_AC","Motif","model_4","rank_1","seed_1","recycle_9",FALSE,0.5,0.96,0.39,0.92,0.619,0.36,1.11,0.817
"48","1elw_AC","Motif","model_4","rank_1","seed_1","recycle_9",TRUE,0.47,0.97,0.58,1.06,0.688,0.411,1.151,0.865
"49","1elw_AC","Motif","model_4","rank_1","seed_2","recycle_3",FALSE,0.51,0.99,0.88,1.33,2.239,0.986,2.397,1.3
"50","1elw_AC","Motif","model_4","rank_1","seed_2","recycle_3",TRUE,0.46,0.97,0.75,1.22,1.562,0.696,1.773,1.083
"51","1elw_AC","Motif","model_4","rank_1","seed_2","recycle_9",FALSE,0.5,0.97,0.37,0.9,0.604,0.364,1.08,0.816
"52","1elw_AC","Motif","model_4","rank_1","seed_2","recycle_9",TRUE,0.46,0.93,0.54,1.03,0.703,0.415,1.133,0.86
"53","1elw_AC","Motif","model_4","rank_1","seed_3","recycle_3",FALSE,0.51,0.97,0.74,1.23,1.821,0.829,2.046,1.107
"54","1elw_AC","Motif","model_4","rank_1","seed_3","recycle_3",TRUE,0.47,1,0.89,1.29,1.796,0.777,1.934,1.141
"55","1elw_AC","Motif","model_4","rank_1","seed_3","recycle_9",FALSE,0.51,0.96,0.36,0.91,0.6,0.361,1.095,0.822
"56","1elw_AC","Motif","model_4","rank_1","seed_3","recycle_9",TRUE,0.48,0.96,0.35,0.83,0.73,0.388,1.048,0.79
"57","1elw_AC","Motif","model_4","rank_1","seed_4","recycle_3",FALSE,0.52,0.98,1,1.29,2.802,1.109,2.804,1.338
"58","1elw_AC","Motif","model_4","rank_1","seed_4","recycle_3",TRUE,0.54,0.99,1.78,2.2,4.353,1.856,4.546,2.139
"59","1elw_AC","Motif","model_4","rank_1","seed_4","recycle_9",FALSE,0.52,0.98,0.39,0.92,0.673,0.373,1.14,0.826
"60","1elw_AC","Motif","model_4","rank_1","seed_4","recycle_9",TRUE,0.49,0.97,0.49,0.9,0.844,0.433,1.151,0.816
"61","1jd5_AB","Motif","model_4","rank_2","seed_0","recycle_3",FALSE,0.34,1.11,2.25,2.75,3.773,3.449,5.757,4.47
"62","1jd5_AB","Motif","model_4","rank_1","seed_0","recycle_3",TRUE,0.34,1.04,0.32,0.35,3.581,3.332,5.579,4.331
"63","1jd5_AB","Motif","model_4","rank_1","seed_0","recycle_9",FALSE,0.33,1.02,2.25,2.76,3.686,3.461,5.686,4.524
"64","1jd5_AB","Motif","model_4","rank_5","seed_0","recycle_9",TRUE,0.34,1.09,0.72,1.22,3.877,3.399,5.496,4.389
"65","1jd5_AB","Motif","model_4","rank_1","seed_1","recycle_3",FALSE,0.33,1.03,2.28,2.78,3.827,3.496,5.786,4.571
"66","1jd5_AB","Motif","model_4","rank_7","seed_1","recycle_3",TRUE,0.35,1.07,2.21,2.68,3.6,3.28,5.663,4.394
"67","1jd5_AB","Motif","model_4","rank_2","seed_1","recycle_9",FALSE,0.33,1.03,2.3,2.79,3.616,3.407,5.61,4.473
"68","1jd5_AB","Motif","model_4","rank_1","seed_1","recycle_9",TRUE,0.32,1.06,2.2,2.65,3.662,3.251,5.63,4.283
"69","1jd5_AB","Motif","model_4","rank_2","seed_2","recycle_3",FALSE,0.35,1.1,2.24,2.75,3.82,3.521,5.79,4.581
