"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1czy_CE","Motif","seed_0","recycle_9",0.68,1.27,1.79,1.99,1.975,1.203,2.651,1.602,1.478,1.083,0.76,5,6,7
"2","1eg4_AP","Motif","seed_0","recycle_9",0.96,1.44,5.38,5.67,41.033,15.991,40.998,16.716,15.989,16.625,0.08,0,0,0
"3","1elw_AC","Motif","seed_0","recycle_9",0.4,0.92,1.56,2.01,2.113,1.135,2.558,1.437,1.389,1.151,0.45,4,8,8
"4","1jd5_AB","Motif","seed_0","recycle_9",4.46,4.67,1.99,2.34,3.709,3.862,4.184,4.614,5.695,5.569,0.37,0,0,7
"5","1jwg_BD","Motif","seed_0","recycle_9",0.77,1.33,1.64,2.26,9.6,4.416,9.847,4.686,3.852,3.804,0.05,0,0,0
"6","1mfg_AB","Motif","seed_0","recycle_9",0.69,1.25,1.81,2.02,21.569,10.262,21.451,9.828,9.578,10.204,0.48,0,0,0
"7","1ntv_AB","Motif","seed_0","recycle_9",3.03,3.12,3.18,3.65,6.021,3.797,6.441,3.822,3.185,3.219,0.61,0,4,8
"8","1rxz_AB","Motif","seed_0","recycle_9",0.76,1.28,3.55,3.79,8.646,4.859,8.765,4.92,4.08,4.282,0.69,0,0,0
"9","1ssh_AB","Motif","seed_0","recycle_9",1.95,2.1,1.91,2.48,10.58,3.6,10.579,4.27,4.293,3.98,0.64,0,0,0
"10","1x2r_AB","Motif","seed_0","recycle_9",0.46,1,3.71,4,6.115,4.07,6.55,3.742,2.925,2.94,0.12,0,0,4
"11","2a3i_AB","Motif","seed_0","recycle_9",1.23,1.82,3.11,3.35,3.736,2.435,4.365,2.673,2.196,1.918,0.5,0,0,10
"12","2cch_DF","Motif","seed_0","recycle_9",0.64,1.19,5.43,5.66,5.966,4.34,6.283,4.153,2.972,3.234,0.48,0,0,5
