"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1czy_CE","Motif","seed_0","recycle_9",0.7,1.12,1.82,3.09,2.364,1.254,3.602,2.092,1.837,1.096,2.364,0.86,5,6,7
"2","1eg4_AP","Motif","seed_0","recycle_9",0.98,1.45,1.73,3.04,1.857,1.03,3.107,2.005,2.033,1.052,1.977,0.14,7,12,13
"3","1elw_AC","Motif","seed_0","recycle_9",0.52,0.93,0.79,1.25,2.408,1.194,3.434,1.835,1.858,1.187,2.408,0.3,5,8,8
"4","1jd5_AB","Motif","seed_0","recycle_9",4.14,4.3,1.09,1.71,0.742,2.323,1.211,2.618,4.385,4.493,1.273,0.88,0,8,8
"5","1jwg_BD","Motif","seed_0","recycle_9",0.73,1.36,1.02,2.4,1.114,0.625,2.776,1.953,1.84,0.532,1.232,0.79,0,0,5
"6","1mfg_AB","Motif","seed_0","recycle_9",1.23,1.84,1.99,3.74,8.826,4.173,9.889,4.877,4.866,4.241,8.826,0.78,4,6,7
"7","1ntv_AB","Motif","seed_0","recycle_9",3.1,3.16,0.65,1.51,0.551,0.398,1.609,1.366,1.391,0.401,0.551,0.96,7,10,10
"8","1rxz_AB","Motif","seed_0","recycle_9",0.72,1.25,0.48,1.43,1.069,0.586,1.683,1.234,1.235,0.57,1.069,0.92,4,11,11
"9","1ssh_AB","Motif","seed_0","recycle_9",2.02,2.11,0.61,0.76,0.975,0.54,1.042,1.045,0.807,0.485,1.199,0.92,8,11,11
"10","1x2r_AB","Motif","seed_0","recycle_9",0.46,1.01,0.72,1.78,5.183,2.497,6.336,3.252,3.313,2.464,4.601,0.71,0,8,9
"11","2a3i_AB","Motif","seed_0","recycle_9",1.22,1.79,1.1,2.85,0.611,0.421,1.009,1.174,0.928,0.339,1.446,0.94,8,9,12
"12","2cch_DF","Motif","seed_0","recycle_9",0.5,1.06,1.79,3.24,2.116,1.205,3.908,2.359,2.286,1.166,1.948,0.92,0,11,12
