"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1bjr_EI","approved","seed_0","recycle_9",0.48,0.98,4.96,5.66,9.68,4.674,10.769,4.857,4.678,4.526,9.68,0.54,0,0,0
"2","1d4t_AB","approved","seed_0","recycle_9",0.81,1.4,2.28,3.83,6.13,3.106,7.164,3.766,3.718,3.048,6.086,0.91,10,11,11
"3","1ee5_AB","approved","seed_0","recycle_9",1.07,1.29,2.33,4.03,3.32,2.031,4.263,2.677,2.367,1.811,3.522,0.55,6,8,14
"4","1elr_AB","approved","seed_0","recycle_9",0.65,1.22,1.35,2.39,10.668,4.989,11.32,5.388,5.497,4.965,10.668,0.42,0,0,0
"5","1fiw_AL","approved","seed_0","recycle_9",0.46,1.01,3.16,4.84,3.456,1.784,5.278,3.023,2.856,1.725,4.01,0.78,6,10,11
"6","1jrr_AP","approved","seed_0","recycle_9",2.04,2.47,1.64,2.84,42.999,18.225,45.218,17.713,17.093,17.653,42.999,0,0,0,0
"7","1ky6_AP","approved","seed_0","recycle_9",2.85,2.81,1.33,1.63,10.155,4.256,10.103,4.229,5.386,5.187,10.155,0.06,0,0,0
"8","1ssc_AB","approved","seed_0","recycle_9",1,1.29,0.39,0.89,0.381,0.285,0.965,0.799,0.762,0.29,0.381,1,11,11,11
"9","1t3l_AB","approved","seed_0","recycle_9",1.59,2.44,0.37,1.01,1.043,0.724,1.398,1.708,1.177,0.348,1.4,0.29,7,17,17
"10","1t4f_MP","approved","seed_0","recycle_9",1.02,1.95,0.54,1.35,0.811,0.493,1.475,1.26,1.362,0.497,0.847,0.22,0,9,9
"11","1t5z_AB","approved","seed_0","recycle_9",0.7,1.32,1.07,2.38,1.311,0.759,2.958,1.94,1.852,0.737,1.155,0.75,0,10,11
"12","1tj9_AB","approved","seed_0","recycle_9",0.71,1.23,1.36,1.51,21.287,9.179,22.726,9.756,9.166,8.583,21.287,0,0,0,0
"13","1xqy_AQ","approved","seed_0","recycle_9",0.74,1.32,0.98,0.94,7.624,3.558,7.845,3.616,3.343,3.298,7.624,0.05,0,0,0
"14","2b1n_AB","approved","seed_0","recycle_9",0.87,1.27,1.37,2.11,53.053,23.772,53.135,22.892,19.43,20.583,53.053,0,0,0,0
"15","2cnz_AB","approved","seed_0","recycle_9",0.87,1.23,0.36,1.01,0.551,0.534,1.083,1.055,1.109,0.575,0.568,0.73,18,19,19
"16","2f31_AB","approved","seed_0","recycle_9",0.46,1.18,0.82,2.39,1.005,0.481,2.796,1.044,1.803,0.599,1.072,0.31,17,19,20
"17","2fib_AB","approved","seed_0","recycle_9",0.58,0.98,1.01,2.17,49.093,20.413,50.5,20.33,17.638,17.635,49.267,0,0,0,0
"18","2hwl_BA","approved","seed_0","recycle_9",0.66,1.22,1.79,1.99,1.251,1.524,1.721,1.462,1.126,0.759,2.088,0.1,18,27,27
"19","2np0_AB","approved","seed_0","recycle_9",24.28,24.51,1.04,2.16,59.485,23.804,58.335,24.92,25.54,24.392,60.419,0,0,0,0
"20","2orz_AB","approved","seed_0","recycle_9",2.83,3.11,0.73,1.61,59.346,21.063,58.706,22.287,21.652,19.559,61.302,0,0,0,0
"21","2qa9_EI","approved","seed_0","recycle_9",0.48,0.72,0.51,0.95,1.018,0.438,1.385,0.742,0.721,0.437,1.018,0.86,0,4,4
"22","2qos_CA","approved","seed_0","recycle_9",0.64,1.11,0.23,1.02,0.349,0.449,1.125,1.213,1.277,0.422,0.48,1,8,11,11
"23","2v8x_AB","approved","seed_0","recycle_9",1.03,1.92,0.37,1.58,0.77,0.379,1.501,1.033,1.062,0.412,0.702,0.19,5,14,14
"24","2wv5_CG","approved","seed_0","recycle_9",NA,NA,NA,NA,13.169,5.851,13.763,6.346,5.943,5.426,13.169,0.22,0,0,0
"25","2x72_AB","approved","seed_0","recycle_9",1.9,2.52,0.65,1.29,28.429,14.071,28.7,14.388,13.836,13.56,28.461,0,0,0,0
"26","2xyi_AB","approved","seed_0","recycle_9",0.58,1.03,0.25,1.16,0.802,0.679,1.544,1.467,1.403,0.66,0.856,0.18,4,14,14
"27","2z5n_AB","approved","seed_0","recycle_9",2.44,2.71,3.12,5.47,4.03,2.205,6.276,3.665,3.519,2.136,4.097,0.26,0,4,6
"28","2z9i_AG","approved","seed_0","recycle_9",1.36,1.75,0.44,0.44,0.652,0.395,0.759,0.721,0.847,0.348,0.652,0.08,4,4,4
"29","3ask_AP","approved","seed_0","recycle_9",1.91,2.35,1.09,2.38,3.117,1.984,3.627,2.379,2.454,1.951,3.028,0.17,0,7,10
"30","3ayu_AB","approved","seed_0","recycle_9",0.66,1.11,0.48,0.87,0.686,0.447,0.989,0.939,0.907,0.553,0.691,0.97,8,10,10
"31","3brh_AC","approved","seed_0","recycle_9",0.81,1.29,2.19,2.88,38.619,14.471,38.935,15.986,16.814,15.577,38.619,0,0,0,0
"32","3c3o_AB","approved","seed_0","recycle_9",1.02,1.56,0.74,1.53,0.975,0.603,1.052,0.912,1.02,0.63,0.884,0,0,13,13
"33","3cvl_AB","approved","seed_0","recycle_9",1.4,1.84,0.61,1.06,0.956,0.553,1.228,0.873,0.839,0.523,0.956,0.06,4,5,5
"34","3dnj_AC","approved","seed_0","recycle_9",0.28,1.16,0.59,1.34,21.908,7.787,22.822,9.098,9.337,8.117,21.908,0,0,0,0
"35","3n2d_AB","approved","seed_0","recycle_9",0.46,0.96,1.67,2.56,16.83,8.001,16.921,7.808,8.028,8.097,16.83,0.07,0,0,0
"36","3n55_AB","approved","seed_0","recycle_9",0.76,1.23,0.64,1.45,3.611,1.735,6.153,3.374,3.509,1.783,3.611,0.15,0,0,0
"37","3n5u_AC","approved","seed_0","recycle_9",0.63,1.08,1.45,2.34,1.998,1.022,2.726,1.714,1.781,1.016,1.99,0.31,0,6,7
"38","3nih_AB","approved","seed_0","recycle_9",0.51,1.08,0.38,1.08,3.268,1.422,3.01,1.526,1.515,1.464,3.268,0.68,0,0,0
"39","3pkn_AB","approved","seed_0","recycle_9",0.79,1.34,4.01,6.26,14.368,6.159,15.559,7.601,7.668,6.268,14.57,0.24,0,0,0
"40","3r42_AB","approved","seed_0","recycle_9",0.99,1.35,1.33,2.66,24.541,10.444,25.155,11.329,11.505,10.509,23.769,0.38,0,0,0
"41","3r7g_AB","approved","seed_0","recycle_9",1.48,1.8,0.78,1.7,1.243,2.378,2.008,3.104,1.869,1.235,1.32,0.39,0,19,19
"42","3rc4_AB","approved","seed_0","recycle_9",1.38,2.02,1.37,1.83,23.136,9.654,23.407,10.163,9.46,9.227,23.136,0.03,0,0,0
"43","3ro3_AB","approved","seed_0","recycle_9",0.53,1.02,1.34,1.74,0.911,0.555,1.603,1.199,1.203,0.577,1.587,0.5,10,16,16
"44","3t6j_AB","approved","seed_0","recycle_9",0.78,1.3,0.77,2.19,1.392,0.685,2.794,1.54,1.558,0.775,1.392,0.43,0,4,5
"45","3ufm_AB","approved","seed_0","recycle_9",0.45,0.93,0.67,1.58,0.539,0.415,0.853,1.076,0.712,0.319,0.787,0.22,0,4,4
"46","3v7d_BE","approved","seed_0","recycle_9",1.39,1.73,2.28,3.71,10.766,5.713,11.772,6.066,5.794,5.466,9.711,0.39,0,0,0
"47","3vxw_AB","approved","seed_0","recycle_9",1.24,1.54,0.57,0.88,0.61,0.436,1.005,1.116,1.029,0.411,0.61,0.5,6,6,6
"48","3wbn_AB","approved","seed_0","recycle_9",0.8,1.14,10.78,11.65,16.367,9.431,16.98,10.295,10.009,8.88,22.073,0.37,0,0,0
"49","4aph_AP","approved","seed_0","recycle_9",0.91,1.3,1.09,3.38,11.24,5.188,13.165,6.159,5.875,4.792,11.24,0.26,0,0,0
"50","4bta_AC","approved","seed_0","recycle_9",1.31,1.96,1.24,1.1,1.693,0.779,1.772,1.213,1.25,0.798,1.693,0.11,0,9,9
"51","4cu4_AB","approved","seed_0","recycle_9",1.63,2,6.35,7.05,15.341,9.308,14.787,8.704,8.725,9.34,15.317,0.3,0,0,0
"52","4cy3_AD","approved","seed_0","recycle_9",0.51,0.9,1.95,3.25,3.594,1.828,6.83,3.341,3.253,1.737,3.306,0,5,9,9
"53","4dcb_AF","approved","seed_0","recycle_9",1.23,1.68,2.87,3.22,11.984,6.424,12.531,6.292,6.134,6.306,12.276,0.04,0,0,0
"54","4fvd_AC","approved","seed_0","recycle_9",1.37,1.84,1.46,1.96,14.778,5.893,14.219,5.806,5.633,5.565,14.778,0,0,0,0
"55","4j86_BD","approved","seed_0","recycle_9",0.53,0.92,3.41,4.96,29.639,11.323,30.748,11.78,13.808,12.927,30.884,0,0,0,0
"56","4k0u_AB","approved","seed_0","recycle_9",0.37,0.78,0.53,1.65,0.785,0.474,1.73,1.159,1.159,0.404,0.832,0.13,5,15,15
"57","4ka7_AC","approved","seed_0","recycle_9",0.78,1.17,2.04,2.47,10.441,4.794,10.244,3.873,3.602,4.129,10.441,0.09,0,0,0
"58","4mn8_AC","approved","seed_0","recycle_9",0.86,1.34,8.99,10.06,21.76,11.542,21.62,11.695,9.402,9.732,22.341,0.08,0,0,0
"59","4piq_AB","approved","seed_0","recycle_9",0.61,1.1,0.46,1.41,0.539,0.453,1.49,1.178,1.095,0.436,0.539,0.97,0,11,11
"60","4rs9_AB","approved","seed_0","recycle_9",1.71,2.19,2.21,2.5,2.35,1.319,2.426,1.737,1.607,1.321,2.983,0.47,7,18,19
"61","4tjx_AB","approved","seed_0","recycle_9",1.01,1.56,1.47,2.01,15.405,6.572,14.68,6.079,5.963,6.399,15.405,0,0,0,0
"62","4tzm_AC","approved","seed_0","recycle_9",3.77,4.2,8.96,10.45,16.289,6.88,16.867,7.875,9.076,8.694,16.289,0.58,10,13,13
"63","4w50_BF","approved","seed_0","recycle_9",3.57,3.84,1.83,3.1,10.917,7.069,11.588,7.641,7.579,6.995,10.86,0.3,0,4,10
"64","4x3h_AB","approved","seed_0","recycle_9",4.49,4.32,1.55,3.33,16.239,9,18.587,9.634,9.307,8.681,17.316,0.07,0,0,0
"65","4xal_AB","approved","seed_0","recycle_9",1.52,2.34,1.54,2.24,15.099,5.991,15.608,6.459,6.561,6.142,15.099,0,0,0,0
"66","4xob_AB","approved","seed_0","recycle_9",3.45,3.6,1.74,2.41,4.384,1.549,5.238,1.72,1.696,1.549,4.384,0.98,0,8,13
"67","4z2o_AP","approved","seed_0","recycle_9",0.68,1.01,4.84,5.56,16.581,8.608,16.114,8.622,9.167,9.141,18.258,0.04,0,0,0
"68","5a29_AB","approved","seed_0","recycle_9",1.04,1.53,7.22,7.92,41.53,20.835,40.586,19.984,19.863,20.85,42.298,0,0,0,0
"69","5frs_AC","approved","seed_0","recycle_9",1.64,2.18,3.38,4.85,24.45,14.479,25.444,13.842,13.533,13.66,22.41,0.06,0,0,0
"70","5fxc_HP","approved","seed_0","recycle_9",0.8,1.2,1.27,2.3,7.874,4.394,9.305,5.341,5.103,4.194,7.575,0.5,0,0,0
"71","5gr9_BC","approved","seed_0","recycle_9",1.49,1.68,2.84,4.73,12.735,6.382,13.949,6.591,6.823,6.463,12.099,0,0,0,0
"72","5jiu_BD","approved","seed_0","recycle_9",0.68,1.2,3.28,4.36,36.095,14.547,36.23,13.974,13.739,13.896,36.676,0,0,0,0
"73","5l9b_AC","approved","seed_0","recycle_9",1.39,1.47,1.02,1.79,0.905,0.81,1.933,1.467,1.563,0.894,1.119,0.15,6,18,18
"74","5lm1_AB","approved","seed_0","recycle_9",2.74,2.9,0.59,0.9,1.277,0.42,1.972,0.851,1.162,0.52,1.193,0.33,7,10,10
"75","5n85_AB","approved","seed_0","recycle_9",1.35,2,1.95,3.14,12.219,7.865,12.204,7.916,7.065,7.099,13.083,0.37,0,0,0
"76","5njx_AB","approved","seed_0","recycle_9",1.93,2.14,3.18,5.12,9.335,4.619,10.841,5.457,5.776,4.908,9.102,0,0,0,0
"77","5onp_AB","approved","seed_0","recycle_9",0.4,0.83,1.7,1.75,2.496,1.243,2.358,1.211,1.105,1.132,2.496,0.86,0,5,5
"78","5vao_CH","approved","seed_0","recycle_9",8.36,8.15,0.95,1.66,1.196,0.983,1.739,1.424,1.066,0.643,1.729,0.92,9,11,11
"79","5wir_BD","approved","seed_0","recycle_9",1.63,2.15,1.58,3.49,1.745,1.135,3.528,2.258,2.313,1.121,1.745,0.29,0,6,7
"80","5y59_BC","approved","seed_0","recycle_9",1.62,2.2,0.39,1.37,0.668,0.348,1.007,0.698,0.669,0.343,0.664,0.73,8,12,12
"81","5yc2_AB","approved","seed_0","recycle_9",2.81,2.95,1.35,2.13,2.836,1.3,3.329,1.696,1.547,1.171,2.904,0.18,0,10,14
"82","6a30_AP","approved","seed_0","recycle_9",3.17,3.57,1.94,4.57,29.913,11.38,29.081,12.978,12.353,10.414,31.717,0,0,5,6
"83","6cct_AB","approved","seed_0","recycle_9",1.41,1.6,0.97,1.2,27.411,11.232,27.855,11.582,10.18,9.77,27.411,0,0,0,0
"84","6e3d_AB","approved","seed_0","recycle_9",1.2,1.41,0.76,1.78,2.017,1.17,2.733,1.567,1.555,1.116,2.017,0.79,0,0,4
"85","6efk_AD","approved","seed_0","recycle_9",0.95,1.48,0.48,1.03,0.842,0.592,1.578,1.042,1.065,0.575,0.842,0.87,0,5,5
