ecod family id	pdb	fusion pdb	precise recapitulation of interface	RMSD [Angstrom]
372.1.1.1	1ssc	1a5p	TRUE	0.38
188.1.1.1	1t5z	4j5x	TRUE	1.30
11.1.5.34	2cnz	5y9h	TRUE	0.47
3156.1.1.10	3n55	3njk	TRUE	1.09
4059.1.1.3	1jrr	1hle	TRUE	0.27
109.4.1.217	3ro3	5lwv	FALSE	0.91
5000.3.1.12	6qg8	4bdu	FALSE	1.15
376.1.3.4	6mlc	2ku7	FALSE	0.85
2498.1.1.124	3ayu	5ue4	FALSE	0.69
859.1.1.2	4tzm	4trk	FALSE	16.76
1.1.5.13	3rc4	4b6f	FALSE	23.00
10.1.1.34	5jiu	4b3n	FALSE	28.51
5001.1.1.32	2x72	5dgy	FALSE	28.46
