"","pdb_id","dataset","seed","recycle","rms_before_ref_align_seq_rec_bb","rms_before_ref_align_seq_rec","rms_before_ref_align_seq_pep_bb","rms_before_ref_align_seq_pep","rmsBB_if","rmsBB_allIF","rmsALL_if","rmsALL_allIF","rmsALL_CAPRI_if","rmsBB_CAPRI_if","rmsBB","common_residues_percent","max_in1A","max_in2.5A","max_in4A"
"1","1by5_AB",NA,"seed_0","recycle_9",0.67,1.21,2.12,2.12,4.998,1.401,4.646,1.704,1.797,1.351,5.888,0.33,0,0,0
"2","1cmi_AC",NA,"seed_0","recycle_9",0.61,1.28,2.45,4.54,8.805,5.21,10.174,6.002,5.866,5.08,8.805,0.58,0,8,10
"3","1h6w_AB",NA,"seed_0","recycle_9",4.96,5.03,0.58,1.18,0.875,0.523,1.19,1.021,0.962,0.47,1.063,0,6,10,10
"4","2aij_XP",NA,"seed_0","recycle_9",0.59,0.99,0.45,0.64,0.777,0.915,1.024,0.891,1.191,1.204,0.777,0.16,4,5,5
"5","2nyq_AB",NA,"seed_0","recycle_9",0.42,0.81,0.04,1.61,5.28,1.41,8.901,3.027,3.766,1.858,5.28,0.64,0,0,0
"6","2ojx_AE",NA,"seed_0","recycle_9",0.61,1.48,2.03,3.67,8.761,5.824,9.669,5.858,4.772,4.821,10.835,0.07,0,0,0
"7","2w9r_AB",NA,"seed_0","recycle_9",2.21,2.64,1.86,3.29,29.395,10.718,30.231,11.253,11.754,11.017,32.176,0,0,0,0
"8","3jvk_AC",NA,"seed_0","recycle_9",0.95,1.22,1.51,1.63,5.59,3.016,6.506,3.534,3.187,2.881,5.787,0.42,0,0,0
"9","3p72_AB",NA,"seed_0","recycle_9",2.33,2.65,6.63,6.73,25.226,12.153,26.916,13.561,13.612,12.564,25.443,0,0,0,0
"10","4ayv_BD",NA,"seed_0","recycle_9",1.25,1.63,1.87,3.08,15.639,7.871,16.239,8.33,9.943,9.486,13.583,0.67,0,7,11
"11","4fwf_AE",NA,"seed_0","recycle_9",0.96,1.42,2.64,4.05,5.788,3.105,6.003,3.241,2.82,2.673,5.788,0.23,0,6,10
"12","4j1v_AE",NA,"seed_0","recycle_9",1.38,1.83,3.63,6.11,34.296,14.949,33.039,15.201,14.593,14.163,34.121,0,0,0,0
"13","4j86_BC",NA,"seed_0","recycle_9",0.53,0.92,3.44,4.96,30.106,9.83,28.537,10.067,10.761,10.512,32.295,0,0,0,0
"14","4jhk_AC",NA,"seed_0","recycle_9",0.61,1.17,4.07,5.89,0.431,0.418,0.853,1.308,1.026,0.27,10.669,0.41,10,15,16
"15","4k39_BD",NA,"seed_0","recycle_9",1.01,1.49,1.74,2.69,4.727,2.304,5.008,2.757,2.426,2.077,4.727,0.12,0,6,7
"16","4ouc_AB",NA,"seed_0","recycle_9",0.72,1.2,3.59,5.55,16.607,7.807,17.17,8.015,7.892,7.584,16.607,0,0,0,0
"17","4oz6_AB",NA,"seed_0","recycle_9",0.75,1.18,2.47,2.39,7.857,4.301,7.965,4.636,4.03,3.741,7.857,0,0,0,0
"18","4quf_DT",NA,"seed_0","recycle_9",0.56,1.39,1.62,3,2.205,1.399,3.343,2.295,2.157,1.292,2.163,0.43,0,6,7
"19","4uzq_AB",NA,"seed_0","recycle_9",0.68,1.26,0.43,0.75,38.82,13.592,39.515,13.431,12.453,12.242,38.82,0,0,0,0
"20","5am8_BQ",NA,"seed_0","recycle_9",1.01,1.35,0.4,0.8,2.425,1.271,3.608,1.725,1.545,1.023,2.425,0.18,0,0,0
"21","5iyv_AB",NA,"seed_0","recycle_9",1.41,1.64,2.23,2.59,10.525,5.169,11.581,5.458,4.853,4.615,10.032,0.05,0,0,0
"22","5k6s_AB",NA,"seed_0","recycle_9",2.4,2.6,2.76,4.33,5.198,2.787,7.521,4.036,3.934,2.561,5.313,0.26,5,10,11
"23","5nnp_BI",NA,"seed_0","recycle_9",1.09,1.45,1.19,1.72,8.191,3.708,8.059,3.481,3.754,3.895,8.191,0.24,0,0,0
"24","5sw9_AB",NA,"seed_0","recycle_9",2.38,2.68,0.49,0.84,2.705,2.008,3.402,2.358,1.981,1.512,3.411,0.23,9,9,11
"25","5yp5_AB",NA,"seed_0","recycle_9",0.42,1,0.41,1.49,0.576,0.345,2.048,1.229,1.196,0.325,0.584,1,0,8,8
"26","5yv5_AB",NA,"seed_0","recycle_9",1.28,1.83,1.52,1.61,1.919,1.362,2.173,1.931,1.904,1.35,1.938,0.18,7,14,14
"27","6f4q_AB",NA,"seed_0","recycle_9",0.42,0.99,1.13,1.56,6.994,2.743,8.045,3.223,3.893,2.884,6.994,0,0,0,0
"28","6fkp_DF",NA,"seed_0","recycle_9",1.03,1.54,0.51,0.59,0.562,0.631,1.371,1.157,1.277,0.689,0.548,0.55,7,8,8
"29","6tyt_AC",NA,"seed_0","recycle_9",0.72,0.97,0.61,0.63,0.551,0.489,0.913,1.014,1.026,0.506,0.682,0,11,11,11
